Banda,Regiao,He,Hmax,He/Hmax,SDL,LMC,DNCount,N,DNmax,DNmin,DNmean,DNstd
1,Veg Nativa,4.412966712587434,5.247927513443585,0.8408970400758706,0.13378920806751027,0.024133924492027062,14157,38.0,66.0,28.0,46.519601610510705,5.190023428739559
1,Urbano,5.779006567237681,7.22881869049588,0.7994399658737676,0.16033570683751686,0.01358466446691062,14761,150.0,223.0,29.0,71.94641284465823,15.865062159177112
1,Agua,2.570864993473013,4.700439718141092,0.5469413815798763,0.24779650669537245,0.08761349504413965,5032,26.0,51.0,24.0,28.39308426073132,1.8421663806025308
1,Pastagem,3.6282687356004604,4.857980995127572,0.7468676265385804,0.18905637496720798,0.04903436614780646,2679,29.0,80.0,44.0,70.30421799178798,3.3382790299690153
